titulo,slogan_tagline,cliente,data_publicacao,tags,descricao,url_projeto,url_capa,caminho_local_capa,total_imagens,urls_imagens_galeria,caminhos_locais_galeria
Cubos Academy,,,27 de setembro de 2023,"Design de interações, Direção artística, Interface e exp. do usuário, Figma, ux, uxdesign, UI/UX, uidesign, learning, learning app",,https://www.behance.net/gallery/181014093/Cubos-Academy,https://mir-s3-cdn-cf.behance.net/projects/original/d781c9181014093.Y3JvcCwxMjE3LDk1MiwzNDYsMA.png,Cubos_Academy/capa.png,24,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/458962181014093.6516ed98b1438.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/aac681181014093.651d9c759a72b.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/6e0f30181014093.651464cf18cf1.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/b56dad181014093.651476a69d318.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/46903d181014093.651464cf1c505.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/32dc29181014093.651464cf1712a.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/88b6b6181014093.651464cf1642f.png | https://mir-s3-cdn-cf.behance.net/project_modules/source/d9a9c1181014093.651cdd1a2dd18.gif | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/131266181014093.651464cf1a8da.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/b3b8f2181014093.651464cf153c3.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/cd36f0181014093.6518362e8d18c.png | https://mir-s3-cdn-cf.behance.net/project_modules/fs_webp/72596f181014093.6518393cddef4.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/5948d6181014093.6519aaa6a86f6.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/0c8ef9181014093.651728559faa0.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/fa8ee6181014093.6519abd4babe7.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/af9657181014093.6519a1cf6cffe.png | https://mir-s3-cdn-cf.behance.net/project_modules/fs_webp/2c436f181014093.651878eb670fb.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/ced0d2181014093.651d93339d8f8.png | https://mir-s3-cdn-cf.behance.net/projects/original/d842e5204249217.Y3JvcCwyNDkwLDE5NDcsMCwxMg.png | https://mir-s3-cdn-cf.behance.net/projects/original/1c9e07188744247.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea0787204195423.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea10f7207163601.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.jpeg | https://mir-s3-cdn-cf.behance.net/projects/original/74b452225271679.681a4c5f431d3.png | https://mir-s3-cdn-cf.behance.net/projects/original/518250226206145.682af0d0ed877.png,Cubos_Academy/imagens/imagem_01.png | Cubos_Academy/imagens/imagem_02.png | Cubos_Academy/imagens/imagem_03.png | Cubos_Academy/imagens/imagem_04.png | Cubos_Academy/imagens/imagem_05.png | Cubos_Academy/imagens/imagem_06.png | Cubos_Academy/imagens/imagem_07.png | Cubos_Academy/imagens/imagem_08.gif | Cubos_Academy/imagens/imagem_09.png | Cubos_Academy/imagens/imagem_10.png | Cubos_Academy/imagens/imagem_11.png | Cubos_Academy/imagens/imagem_12.png | Cubos_Academy/imagens/imagem_13.png | Cubos_Academy/imagens/imagem_14.png | Cubos_Academy/imagens/imagem_15.png | Cubos_Academy/imagens/imagem_16.png | Cubos_Academy/imagens/imagem_17.png | Cubos_Academy/imagens/imagem_18.png | Cubos_Academy/imagens/imagem_19.png | Cubos_Academy/imagens/imagem_20.png | Cubos_Academy/imagens/imagem_21.png | Cubos_Academy/imagens/imagem_22.jpeg | Cubos_Academy/imagens/imagem_23.png | Cubos_Academy/imagens/imagem_24.png
Kayo Paladino,,,28 de julho de 2024,"Design gráfico, app design, UI/UX, ui design, ux, user interface, Figma, user experience, UX design, Mobile app",,https://www.behance.net/gallery/204249217/Kayo-Paladino,https://mir-s3-cdn-cf.behance.net/projects/original/d842e5204249217.Y3JvcCwyNDkwLDE5NDcsMCwxMg.png,Kayo_Paladino/capa.png,12,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/7484ee204249217.66ca5786cbc72.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/0e60fc204249217.66ca5786cca72.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/2a5a75204249217.66ca5786cc291.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/cbec89204249217.66ca5786cd1f2.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/9554d5204249217.66a5ae325f7b4.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/2b9557204249217.66a5ae325ea0d.png | https://mir-s3-cdn-cf.behance.net/projects/original/d781c9181014093.Y3JvcCwxMjE3LDk1MiwzNDYsMA.png | https://mir-s3-cdn-cf.behance.net/projects/original/1c9e07188744247.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea0787204195423.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea10f7207163601.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.jpeg | https://mir-s3-cdn-cf.behance.net/projects/original/74b452225271679.681a4c5f431d3.png | https://mir-s3-cdn-cf.behance.net/projects/original/518250226206145.682af0d0ed877.png,Kayo_Paladino/imagens/imagem_01.png | Kayo_Paladino/imagens/imagem_02.png | Kayo_Paladino/imagens/imagem_03.png | Kayo_Paladino/imagens/imagem_04.png | Kayo_Paladino/imagens/imagem_05.png | Kayo_Paladino/imagens/imagem_06.png | Kayo_Paladino/imagens/imagem_07.png | Kayo_Paladino/imagens/imagem_08.png | Kayo_Paladino/imagens/imagem_09.png | Kayo_Paladino/imagens/imagem_10.jpeg | Kayo_Paladino/imagens/imagem_11.png | Kayo_Paladino/imagens/imagem_12.png
Tecnorádio,,,27 de julho de 2024,"Publicidade, Design gráfico, Social media post, Figma, design gráfico, Socialmedia, Graphic Designer, design, marketing",,https://www.behance.net/gallery/188744247/Tecnoradio,https://mir-s3-cdn-cf.behance.net/projects/original/1c9e07188744247.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png,Tecnorádio/capa.png,10,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/d1e409188744247.66a5a6549c0d9.png | https://mir-s3-cdn-cf.behance.net/project_modules/max_1200_webp/0a520f188744247.66a5a6549ca6e.png | https://mir-s3-cdn-cf.behance.net/project_modules/max_1200_webp/efebbf188744247.66a47b166d39e.jpeg | https://mir-s3-cdn-cf.behance.net/project_modules/max_1200_webp/09889e188744247.66a47b166cbb7.png | https://mir-s3-cdn-cf.behance.net/projects/original/d781c9181014093.Y3JvcCwxMjE3LDk1MiwzNDYsMA.png | https://mir-s3-cdn-cf.behance.net/projects/original/d842e5204249217.Y3JvcCwyNDkwLDE5NDcsMCwxMg.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea0787204195423.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea10f7207163601.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.jpeg | https://mir-s3-cdn-cf.behance.net/projects/original/74b452225271679.681a4c5f431d3.png | https://mir-s3-cdn-cf.behance.net/projects/original/518250226206145.682af0d0ed877.png,Tecnorádio/imagens/imagem_01.png | Tecnorádio/imagens/imagem_02.png | Tecnorádio/imagens/imagem_03.jpeg | Tecnorádio/imagens/imagem_04.png | Tecnorádio/imagens/imagem_05.png | Tecnorádio/imagens/imagem_06.png | Tecnorádio/imagens/imagem_07.png | Tecnorádio/imagens/imagem_08.jpeg | Tecnorádio/imagens/imagem_09.png | Tecnorádio/imagens/imagem_10.png
Gráfica Vitória,,,27 de julho de 2024,"Design gráfico, Portifólio, grafica, political, Political Art, politics, campaign, graphic design, Political campaign",,https://www.behance.net/gallery/204195423/Grafica-Vitoria,https://mir-s3-cdn-cf.behance.net/projects/original/ea0787204195423.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png,Gráfica_Vitória/capa.png,8,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/5fdbcf204195423.66a550750e1e0.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/62359e204195423.66a550750dcc3.png | https://mir-s3-cdn-cf.behance.net/projects/original/d781c9181014093.Y3JvcCwxMjE3LDk1MiwzNDYsMA.png | https://mir-s3-cdn-cf.behance.net/projects/original/d842e5204249217.Y3JvcCwyNDkwLDE5NDcsMCwxMg.png | https://mir-s3-cdn-cf.behance.net/projects/original/1c9e07188744247.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea10f7207163601.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.jpeg | https://mir-s3-cdn-cf.behance.net/projects/original/74b452225271679.681a4c5f431d3.png | https://mir-s3-cdn-cf.behance.net/projects/original/518250226206145.682af0d0ed877.png,Gráfica_Vitória/imagens/imagem_01.png | Gráfica_Vitória/imagens/imagem_02.png | Gráfica_Vitória/imagens/imagem_03.png | Gráfica_Vitória/imagens/imagem_04.png | Gráfica_Vitória/imagens/imagem_05.png | Gráfica_Vitória/imagens/imagem_06.jpeg | Gráfica_Vitória/imagens/imagem_07.png | Gráfica_Vitória/imagens/imagem_08.png
Adriana Nunes,,,4 de setembro de 2024,Design gráfico,,https://www.behance.net/gallery/207163601/Adriana-Nunes,https://mir-s3-cdn-cf.behance.net/projects/original/ea10f7207163601.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.jpeg,Adriana_Nunes/capa.jpeg,13,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/e0bebf207163601.66d8a88aa47a4.jpeg | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/ba8df5207163601.66d8a88aa513a.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/0ae789207163601.66d8a88aa2b67.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/c3a12b207163601.66d8a88aa33d0.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/1301ab207163601.66d8a88aa21ef.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/31078f207163601.66d8a88aa3f37.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/002062207163601.66d8a88aa3964.png | https://mir-s3-cdn-cf.behance.net/projects/original/d781c9181014093.Y3JvcCwxMjE3LDk1MiwzNDYsMA.png | https://mir-s3-cdn-cf.behance.net/projects/original/d842e5204249217.Y3JvcCwyNDkwLDE5NDcsMCwxMg.png | https://mir-s3-cdn-cf.behance.net/projects/original/1c9e07188744247.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea0787204195423.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/74b452225271679.681a4c5f431d3.png | https://mir-s3-cdn-cf.behance.net/projects/original/518250226206145.682af0d0ed877.png,Adriana_Nunes/imagens/imagem_01.jpeg | Adriana_Nunes/imagens/imagem_02.png | Adriana_Nunes/imagens/imagem_03.png | Adriana_Nunes/imagens/imagem_04.png | Adriana_Nunes/imagens/imagem_05.png | Adriana_Nunes/imagens/imagem_06.png | Adriana_Nunes/imagens/imagem_07.png | Adriana_Nunes/imagens/imagem_08.png | Adriana_Nunes/imagens/imagem_09.png | Adriana_Nunes/imagens/imagem_10.png | Adriana_Nunes/imagens/imagem_11.png | Adriana_Nunes/imagens/imagem_12.png | Adriana_Nunes/imagens/imagem_13.png
LadyBee,,,6 de maio de 2025,"Design gráfico, Web design, doceria, branding",,https://www.behance.net/gallery/225271679/LadyBee,https://mir-s3-cdn-cf.behance.net/projects/original/74b452225271679.681a4c5f431d3.png,LadyBee/capa.png,8,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/154020225271679.681a49d626550.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/537cc1225271679.681a4c603ddb9.png | https://mir-s3-cdn-cf.behance.net/projects/original/d781c9181014093.Y3JvcCwxMjE3LDk1MiwzNDYsMA.png | https://mir-s3-cdn-cf.behance.net/projects/original/d842e5204249217.Y3JvcCwyNDkwLDE5NDcsMCwxMg.png | https://mir-s3-cdn-cf.behance.net/projects/original/1c9e07188744247.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea0787204195423.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea10f7207163601.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.jpeg | https://mir-s3-cdn-cf.behance.net/projects/original/518250226206145.682af0d0ed877.png,LadyBee/imagens/imagem_01.png | LadyBee/imagens/imagem_02.png | LadyBee/imagens/imagem_03.png | LadyBee/imagens/imagem_04.png | LadyBee/imagens/imagem_05.png | LadyBee/imagens/imagem_06.png | LadyBee/imagens/imagem_07.jpeg | LadyBee/imagens/imagem_08.png
Yorrany,,,19 de maio de 2025,"Design gráfico, Marca",,https://www.behance.net/gallery/226206145/Yorrany,https://mir-s3-cdn-cf.behance.net/projects/original/518250226206145.682af0d0ed877.png,Yorrany/capa.png,8,https://mir-s3-cdn-cf.behance.net/project_modules/hd_webp/ddfa4b226206145.682af0d166b6e.png | https://mir-s3-cdn-cf.behance.net/project_modules/hd_webp/ee37d9226206145.682af0d166594.png | https://mir-s3-cdn-cf.behance.net/projects/original/d781c9181014093.Y3JvcCwxMjE3LDk1MiwzNDYsMA.png | https://mir-s3-cdn-cf.behance.net/projects/original/d842e5204249217.Y3JvcCwyNDkwLDE5NDcsMCwxMg.png | https://mir-s3-cdn-cf.behance.net/projects/original/1c9e07188744247.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea0787204195423.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea10f7207163601.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.jpeg | https://mir-s3-cdn-cf.behance.net/projects/original/74b452225271679.681a4c5f431d3.png,Yorrany/imagens/imagem_01.png | Yorrany/imagens/imagem_02.png | Yorrany/imagens/imagem_03.png | Yorrany/imagens/imagem_04.png | Yorrany/imagens/imagem_05.png | Yorrany/imagens/imagem_06.png | Yorrany/imagens/imagem_07.jpeg | Yorrany/imagens/imagem_08.png
Jungle Nutri,,,22 de julho de 2025,"Design gráfico, Design de logotipo",,https://www.behance.net/gallery/230870059/Jungle-Nutri,https://mir-s3-cdn-cf.behance.net/projects/original/3819bb230870059.687efbba91ef5.png,Jungle_Nutri/capa.png,10,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/1692c8230870059.687efbbb432f5.jpg | https://mir-s3-cdn-cf.behance.net/project_modules/hd_webp/d37b1c230870059.687efbbb44118.jpg | https://mir-s3-cdn-cf.behance.net/project_modules/hd_webp/79dfeb230870059.687efbbb43a24.jpg | https://mir-s3-cdn-cf.behance.net/project_modules/hd_webp/efffea230870059.687efbbb44832.jpg | https://mir-s3-cdn-cf.behance.net/projects/original/d781c9181014093.Y3JvcCwxMjE3LDk1MiwzNDYsMA.png | https://mir-s3-cdn-cf.behance.net/projects/original/d842e5204249217.Y3JvcCwyNDkwLDE5NDcsMCwxMg.png | https://mir-s3-cdn-cf.behance.net/projects/original/1c9e07188744247.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea0787204195423.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea10f7207163601.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.jpeg | https://mir-s3-cdn-cf.behance.net/projects/original/74b452225271679.681a4c5f431d3.png,Jungle_Nutri/imagens/imagem_01.jpg | Jungle_Nutri/imagens/imagem_02.jpg | Jungle_Nutri/imagens/imagem_03.jpg | Jungle_Nutri/imagens/imagem_04.jpg | Jungle_Nutri/imagens/imagem_05.png | Jungle_Nutri/imagens/imagem_06.png | Jungle_Nutri/imagens/imagem_07.png | Jungle_Nutri/imagens/imagem_08.png | Jungle_Nutri/imagens/imagem_09.jpeg | Jungle_Nutri/imagens/imagem_10.png
Geostrauss,,,9 de agosto de 2024,"Design gráfico, post, Social media post, motion design",,https://www.behance.net/gallery/205190593/Geostrauss,https://mir-s3-cdn-cf.behance.net/projects/original/812ae7205190593.Y3JvcCw4NTIsNjY3LDczLDA.png,Geostrauss/capa.png,7,https://mir-s3-cdn-cf.behance.net/project_modules/hd_webp/91160b205190593.66b6378390227.png | https://mir-s3-cdn-cf.behance.net/projects/original/d781c9181014093.Y3JvcCwxMjE3LDk1MiwzNDYsMA.png | https://mir-s3-cdn-cf.behance.net/projects/original/d842e5204249217.Y3JvcCwyNDkwLDE5NDcsMCwxMg.png | https://mir-s3-cdn-cf.behance.net/projects/original/1c9e07188744247.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea0787204195423.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea10f7207163601.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.jpeg | https://mir-s3-cdn-cf.behance.net/projects/original/74b452225271679.681a4c5f431d3.png,Geostrauss/imagens/imagem_01.png | Geostrauss/imagens/imagem_02.png | Geostrauss/imagens/imagem_03.png | Geostrauss/imagens/imagem_04.png | Geostrauss/imagens/imagem_05.png | Geostrauss/imagens/imagem_06.jpeg | Geostrauss/imagens/imagem_07.png
CogniBox,,,20 de julho de 2024,"Design gráfico, e-commerce, wordpress, Figma, psicologia, psicopedagogia, pedagogia, educação, identidade visual, branding, Logo Design",,https://www.behance.net/gallery/203711349/CogniBox,https://mir-s3-cdn-cf.behance.net/projects/original/358939203711349.Y3JvcCwxMDYzLDgzMiwxNjUsMA.png,CogniBox/capa.png,12,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/68cacb203711349.669bf2aad7bc0.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/0d9785203711349.66a5452307fd6.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/b67afe203711349.66a5489d7c4c5.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/735eac203711349.66a5489d7bfa2.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/9d5b12203711349.66a5489d7b826.png | https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/80e4fd203711349.66a5489d7b04c.png | https://mir-s3-cdn-cf.behance.net/projects/original/d781c9181014093.Y3JvcCwxMjE3LDk1MiwzNDYsMA.png | https://mir-s3-cdn-cf.behance.net/projects/original/d842e5204249217.Y3JvcCwyNDkwLDE5NDcsMCwxMg.png | https://mir-s3-cdn-cf.behance.net/projects/original/1c9e07188744247.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea0787204195423.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.png | https://mir-s3-cdn-cf.behance.net/projects/original/ea10f7207163601.Y3JvcCw0MjYxLDMzMzMsMzY5LDA.jpeg | https://mir-s3-cdn-cf.behance.net/projects/original/74b452225271679.681a4c5f431d3.png,CogniBox/imagens/imagem_01.png | CogniBox/imagens/imagem_02.png | CogniBox/imagens/imagem_03.png | CogniBox/imagens/imagem_04.png | CogniBox/imagens/imagem_05.png | CogniBox/imagens/imagem_06.png | CogniBox/imagens/imagem_07.png | CogniBox/imagens/imagem_08.png | CogniBox/imagens/imagem_09.png | CogniBox/imagens/imagem_10.png | CogniBox/imagens/imagem_11.jpeg | CogniBox/imagens/imagem_12.png
